group,category,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01,job_code
0a43d3000d9,0,7,7,7,7,7,7,7,7,7,7,7,14,14,14,13,13,13,13,13,13,13,13,13,22,22,22,21,21,21,21,21,21,21,21,21,28,27,27,27,27,27,27,27,27,27,27,27,23,23,23,23,21,21,20,19,19,19,19,19,16,16,16,16,16,16,16,202
0a43d3000d9,0,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,203
0a43d3000d9,1,9,9,9,8,8,8,8,7,7,6,5,5,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,203
0a43d3000d9,0,2,2,2,2,2,2,2,2,2,2,2,10,7,7,7,7,7,7,7,7,7,7,7,12,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,203
0a43d3000d9,0,,,,,,,,,,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204
0a43d3000d9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,204
0a2660b,1,1,1,2,2,2,2,2,2,2,2,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
0a2660b,0,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
0a2660b,0,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
0a2660b,0,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
0a2660b,1,2,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
0a2660b,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
0a2660b,1,17,17,16,16,15,13,12,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
0a2660b,0,2,2,1,1,1,1,1,1,1,1,1,12,11,11,11,11,10,10,10,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
0a2660b,0,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
0a2660b,1,1,1,1,,,1,1,1,1,1,1,,,,,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
0a2660b,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
0efc10,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,102
0efc10,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,5,6,103
0efc10,1,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,1,1,1,,,,,,,,,2,4,4,4,,,,,,,,103
0efc10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,5,5,5,5,5,6,6,5,5,4,4,4,103
0efc10,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,5,4,5,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,1,104
0efc10,1,15,16,16,14,14,14,14,15,14,16,16,,,1,2,8,8,8,8,9,9,11,11,3,3,4,4,5,5,5,5,5,5,5,5,,,,1,3,4,4,5,6,6,6,6,,,,1,1,1,1,2,3,3,3,3,,,,,,,,104
