group,phy_comp_type_code_id,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01
753d504162fb,108,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753d504162fb,110,2,2,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753d504162fb,201,189,189,181,182,182,180,181,187,187,186,185,169,165,161,158,154,153,150,152,150,148,146,143,145,143,143,143,139,139,138,137,136,136,135,135,139,138,137,136,135,133,133,130,130,127,127,127,138,137,137,136,132,129,129,128,127,126,126,125,127,121,101,100,100,99,98
753d504162fb,202,9,9,8,8,8,8,9,14,14,14,14,41,41,41,41,41,41,38,38,39,40,38,38,31,30,30,30,30,30,29,30,32,31,30,30,22,22,23,23,24,25,25,23,29,31,32,33,28,26,26,25,25,25,24,26,26,30,29,29,27,26,20,21,20,20,20
753d504162fb,203,12,12,12,13,13,12,12,12,12,16,18,11,11,11,10,10,10,9,8,7,6,5,6,12,11,11,11,11,12,11,13,13,13,13,14,20,18,18,18,17,15,15,14,15,15,14,14,8,8,7,7,6,5,5,5,6,7,8,8,10,9,7,8,9,9,8
753d504162fb,204,38,38,40,39,38,38,40,40,40,42,42,7,5,6,8,12,13,15,20,22,21,22,24,73,74,75,77,76,83,89,87,92,91,87,89,86,85,88,89,87,86,85,83,85,79,82,81,85,86,86,87,85,83,81,81,80,81,81,81,91,89,49,51,53,56,55
753d504162fb,205,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,19,19,19,20,20,20,20,20,21,21,22,22,30,30,31,31,31,31,31,32,32,31,30,29,37,37,37,37,37,37,36,35,35,35,35,35,41,41,41,41,41,42,42
753d504162fb,208,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1
873eb3d44db2e7d,110,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,12,13,13,13,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,12,12,12,11
873eb3d44db2e7d,111,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
